smiles,value
*=NP(=NP(=NC(=*)Oc1ccc(cc1)C(C)(C)C)(Oc1ccc(cc1)C(C)(C)C)Oc1ccc(cc1)C(C)(C)C)(Oc1ccc(cc1)C(C)(C)C)Oc1ccc(cc1)C(C)(C)C,74.0
*=NP(=NP(=NC(=*)Oc1ccc(cc1)C(F)(F)F)(Oc1ccc(cc1)C(F)(F)F)Oc1ccc(cc1)C(F)(F)F)(Oc1ccc(cc1)C(F)(F)F)Oc1ccc(cc1)C(F)(F)F,31.0
*=NP(=NP(=NC(=*)Oc1ccc(cc1)C(c1ccccc1)(C)C)(Oc1ccc(cc1)C(c1ccccc1)(C)C)Oc1ccc(cc1)C(c1ccccc1)(C)C)(Oc1ccc(cc1)C(c1ccccc1)(C)C)Oc1ccc(cc1)C(c1ccccc1)(C)C,55.0
*=NP(=NP(=NC(=*)Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,18.0
*=NP(=NP(=NC(=*)Oc1ccccc1C(F)(F)F)(Oc1ccccc1C(F)(F)F)Oc1ccccc1C(F)(F)F)(Oc1ccccc1C(F)(F)F)Oc1ccccc1C(F)(F)F,-20.0
*=Nc1c(cc(cc1c1ccccc1)c1ccc(cc1)c1cc(c2ccccc2)c(c(c1)c1ccccc1)N=Cc1ccc(cc1)C=*)c1ccccc1,300.0
*=Nc1ccc(cc1)C(c1ccc(cc1)C(c1ccc(cc1)N=C1OC(=O)c2c1cc(cc2)Oc1ccc2c(c1)C(=O)OC2=*)(C)C)(C)C,247.0
*=Nc1ccc(cc1)Cc1ccc(cc1)NC(=*)C,142.0
*=Nc1ccc(cc1)Cc1ccc(cc1)NC(=*)c1ccccc1,158.0
*=Nc1ccc(cc1)N=C(c1ccccc1)/C=C/C(=*)c1ccccc1,157.0
*=Nc1ccc(cc1)N=C(c1ccccc1)c1ccc(cc1)C(=*)c1ccccc1,179.0
*=Nc1ccc(cc1)Oc1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)Oc1ccc(cc1)N=c1oc(=O)c2c1cc1c(=*)oc(=O)c1c2,287.0
*=Nc1cccc(c1)N=C(c1ccccc1)/C=C/C(=*)c1ccccc1,178.0
*=Nc1cccc(c1)N=C(c1ccccc1)c1ccc(cc1)C(=*)c1ccccc1,179.0
*=Nc1cccc(c1)S(=O)(=O)c1cccc(c1)N=C1OC(=O)c2c1cc(cc2)Oc1ccc2c(c1)C(=O)OC2=*,190.0
*C#CC(=C(COS(=O)(=O)c1ccc(cc1)C)*)COS(=O)(=O)c1ccc(cc1)C,-73.0
*C#Cc1cccc(c1)C#C[SiH](C)*,72.0
*C#Cc1cccc(c1)C#C[SiH](c1ccccc1)*,52.0
*C#Cc1cccc(c1)C#C[Si](C)(C)*,50.0
*C#Cc1ccccc1C#C[SiH](c1ccccc1)*,71.0
*C(=C(C(C(F)(F)F)(C(F)(F)*)F)F)F,-3.0
*C(=C(C(C([2H])([2H])*)([2H])[2H])[2H])C([2H])([2H])[2H],-58.0
*C(=C(C)*)c1ccccc1,200.0
*C(=C(Cl)*)CCCC,190.0
*C(=C(Cl)*)c1ccccc1,215.0
*C(=C([Ge](C)(C)C)*)C,250.0
*C(=C([Si](C)(C)C)*)C,200.0
*C(=C([Si](CC[Si](C)(C)C)(C)C)*)C,200.0
*C(=C([Si](C[Si](C)(C)C)(C)C)*)C,200.0
*C(=C(c1ccc(cc1)Oc1ccccc1)*)c1ccccc1,200.0
*C(=C(c1ccc(cc1)[Si](C)(C)C)*)C,-5.0
*C(=C(c1ccc(s1)*)OC)OC,91.0
*C(=C(c1ccccc1)*)c1ccc(cc1)C(C)(C)C,200.0
*C(=C(c1ccccc1)*)c1ccc(cc1)[Si](C(C)C)(C(C)C)C(C)C,250.0
*C(=C(c1ccccc1)*)c1ccc(cc1)[Si](C)(C)C,200.0
*C(=C(c1ccccc1)*)c1cccc(c1)[Ge](C)(C)C,200.0
*C(=C(c1ccccc1)*)c1cccc(c1)[Si](C)(C)C,200.0
*C(=O)C1=C(*)C2CC1C=C2,94.0
*C(=O)C1C2C=CC(C1*)C2,77.0
*C(=O)C=Cc1ccc(cc1)C=CC(=O)N1CC(=O)N(C1=O)*,156.0
*C(=O)CCCCCCCCC(=O)N1CC(C)N(CC1C)*,-60.5
*C(=O)NC(=S)Nc1ccc(cc1)NC(=O)c1ccc(cc1)C(=O)Nc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*,292.0
*C(=O)NC(=S)Nc1ccc(cc1)NC(=O)c1cccc(c1)C(=O)Nc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*,290.0
*C(=O)NC(=S)Nc1cccnc1OC(=O)CCCCC(=O)Oc1ncccc1N1C(=O)c2c(C1=O)cc(cc2)*,223.0
*C(=O)NC(=S)Nc1cccnc1OC(=O)c1ccc(cc1)C(=O)Oc1ncccc1N1C(=O)c2c(C1=O)cc(cc2)*,230.0
*C(=O)NC(=S)Nc1cccnc1OC(=O)c1cccc(c1)C(=O)Oc1ncccc1N1C(=O)c2c(C1=O)cc(cc2)*,225.0
*C(=O)NC(=S)Nc1ncccc1C(=O)Nc1ccc(cc1)NC(=O)c1cccnc1N1C(=O)c2c(C1=O)cc(cc2)*,270.0
*C(=O)NC(=S)Nc1ncccc1C(=O)Nc1ccc(cc1)Oc1ccc(cc1)C(c1ccc(cc1)Oc1ccc(cc1)NC(=O)c1cccnc1N1C(=O)c2c(C1=O)cc(cc2)*)(C)C,264.0
*C(=O)NC(=S)Nc1ncccc1C(=O)Nc1ccc(cc1)Oc1ccc(cc1)NC(=O)c1cccnc1N1C(=O)c2c(C1=O)cc(cc2)*,265.0
*C(=O)NC(=S)Nc1ncccc1C(=O)Nc1cccc2c1cccc2NC(=O)c1cccnc1N1C(=O)c2c(C1=O)cc(cc2)*,267.0
*C(=O)NC1CCC(CC1)CC1CCC(CC1)NC(=O)c1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*,275.0
*C(=O)NC1CCCC(O1)*,145.0
*C(=O)NCCCCCCNC(=O)c1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*,225.0
*C(=O)NCCCCCCNC(=O)c1ccc(nc1)*,80.0
*C(=O)NCCCCCCNC(=O)c1ncn(c1*)C,86.0
*C(=O)NCCN(c1ccc(cc1)C=Cc1ccc(cc1)[N+](=O)[O-])CCNC(=O)c1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*,178.0
*C(=O)NCCN(c1ccc(cc1)C=Cc1ccc(cc1)[N+](=O)[O-])CCNC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*,224.0
*C(=O)NCCN(c1ccc(cc1)C=Cc1ccc(cc1)[N+](=O)[O-])CCNC(=O)c1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)*,178.0
*C(=O)NCCNC(=O)c1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*,235.0
*C(=O)NNC(=O)c1ccc(cc1)[Si](c1ccccc1)(c1ccccc1)c1ccc(cc1)C(=O)NNC(=O)c1ccc(nc1)*,240.0
*C(=O)NNC(=O)c1ccc(cc1)[Si](c1ccccc1)(c1ccccc1)c1ccc(cc1)C(=O)NNC(=O)c1ccc(o1)*,252.0
*C(=O)NNC(=O)c1ccc(cc1)[Si](c1ccccc1)(c1ccccc1)c1ccc(cc1)C(=O)NNC(=O)c1cncc(c1)*,234.0
*C(=O)Nc1cc(NC(=O)c2ccc3c(c2)C(=O)N(C3=O)c2cc(cc(c2)N2C(=O)c3c(C2=O)cc(cc3)*)c2nnc(o2)c2ccccn2)cc(c1)c1nnc(o1)c1ccccn1,164.0
*C(=O)Nc1cc(NC(=O)c2ccc3c(c2)C(=O)N(C3=O)c2cc(cc(c2)N2C(=O)c3c(C2=O)cc(cc3)*)c2oc3c(n2)cccc3)cc(c1)c1[nH]c2c(n1)cccc2,371.0
*C(=O)Nc1cc(NC(=O)c2ccc3c(c2)C(=O)N(C3=O)c2cc(cc(c2)N2C(=O)c3c(C2=O)cc(cc3)*)c2sc3c(n2)cccc3)cc(c1)c1[nH]c2c(n1)cccc2,368.0
*C(=O)Nc1cc(NC(=O)c2ccc3c(c2)C(=O)N(C3=O)c2cccc(c2)N2C(=O)c3c(C2=O)cc(cc3)*)cc(c1)c1[nH]c2c(n1)cccc2,361.0
*C(=O)Nc1cc(NC(=O)c2ccc3c(c2)nc([nH]3)c2cc(cc(c2)N2C(=O)c3c(C2=O)cccc3)c2nc3c([nH]2)ccc(c3)*)cc(c1)c1nc2c([nH]1)cccc2,334.0
*C(=O)Nc1cc(NC(=O)c2ccc3c(c2)nc([nH]3)c2cccc(c2)c2nc3c([nH]2)ccc(c3)*)cc(c1)c1nc2c([nH]1)cccc2,315.0
*C(=O)Nc1cc(NC(=O)c2cccc(n2)*)cc(c1)c1nnc(o1)c1ccccn1,255.0
*C(=O)Nc1cc(NC(=O)c2cncc(c2)*)cc(c1)c1nnc(o1)c1ccccn1,185.0
*C(=O)Nc1cc(cc(c1Oc1ccc(cc1)C(F)(F)F)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1cc(cc(c1Oc1ccc(cc1)C(F)(F)F)N1C(=O)c2c(C1=O)ccc(c2)*)C(F)(F)F)C(F)(F)F,315.0
*C(=O)Nc1cc(ccc1Oc1cccc2c1cccc2Oc1ccc(cc1NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1ccc(c(c1)c1ccccc1)Oc1ccc(cc1c1ccccc1)N1C(=O)c2c(C1=O)cc(cc2)*)C(F)(F)F)C(F)(F)F,376.0
*C(=O)Nc1ccc(c(c1)C(F)(F)F)c1ccc(cc1C(F)(F)F)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1c(C)cc(c(c1C)N1C(=O)c2c(C1=O)cc(cc2)*)C,267.0
*C(=O)Nc1ccc(c(c1)C)c1ccc(cc1C)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1c(C)cc(c(c1C)N1C(=O)c2c(C1=O)cc(cc2)*)C,259.0
*C(=O)Nc1ccc(c(c1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1c(C)cc(cc1C)Cc1cc(C)c(c(c1)C)N1C(=O)c2c(C1=O)cc(cc2)*)N=Nc1ccc(cc1)[N+](=O)[O-],264.0
*C(=O)Nc1ccc(c(c1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1c(C)cc(cc1C)c1cc(C)c(c(c1)C)N1C(=O)c2c(C1=O)cc(cc2)*)N=Nc1ccc(cc1)[N+](=O)[O-],278.0
*C(=O)Nc1ccc(c(c1)NC(=O)c1cccc(n1)*)Oc1ccc(cc1)c1cc(nc(c1)c1ccccc1)c1ccccc1,233.0
*C(=O)Nc1ccc(c(c1)OCCCCCCS(=O)(=O)c1ccc(cc1)C=Cc1ccc(cc1)N(C)C)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*,192.0
*C(=O)Nc1ccc(c(c1)c1ccccc1)Oc1ccc(cc1c1ccccc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1cc(cc(c1Oc1ccc(cc1)C(F)(F)F)N1C(=O)c2c(C1=O)cc(cc2)*)C(F)(F)F,312.0
*C(=O)Nc1ccc(c(c1)c1ccccc1)Oc1ccc(cc1c1ccccc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1ccc(c(c1)c1ccccc1)Oc1ccc(cc1c1ccccc1)N1C(=O)c2c(C1=O)cc(cc2)*,369.0
*C(=O)Nc1ccc(cc1)C(=O)Nc1ccc(cc1)NC(=O)c1ccc2c(c1)nc([nH]2)c1ccc(cc1)c1nc2c([nH]1)ccc(c2)*,300.0
*C(=O)Nc1ccc(cc1)C(=O)Nc1ccc(cc1)NC(=O)c1ccc2c(c1)nc([nH]2)c1cccc(c1)c1nc2c([nH]1)ccc(c2)*,322.0
*C(=O)Nc1ccc(cc1)C(=O)c1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1cccc(c1)P(=O)(c1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)*)c1ccccc1,238.0
*C(=O)Nc1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)NC(=O)c1ccc(cc1C)N1C(=O)c2c(C1=O)cc(cc2)*,355.0
*C(=O)Nc1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1c(C)cc(c(c1C)N1C(=O)c2c(C1=O)cc(cc2)*)C,250.0
*C(=O)Nc1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1c(C)cc(c2c1cccc2)c1cc(C)c(c2c1cccc2)N1C(=O)c2c(C1=O)cc(cc2)*,250.0
*C(=O)Nc1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1c(C)cc(cc1C)c1cc(C)c(c(c1)C)N1C(=O)c2c(C1=O)cc(cc2)*,386.0
*C(=O)Nc1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)Oc1ccc2c(c1)cc(cc2)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*,292.0
*C(=O)Nc1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)Oc1cccc2c1cccc2Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*,283.0
*C(=O)Nc1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1cccc2c1cccc2N1C(=O)c2c(C1=O)cc(cc2)*,250.0
*C(=O)Nc1ccc(cc1)C1(CC(C)CC(C1)(C)C)c1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*,328.0
*C(=O)Nc1ccc(cc1)C1(CCC(CC1)C(C)(C)C)c1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*,331.0
*C(=O)Nc1ccc(cc1)C1(CCCCC1)c1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*,319.0
*C(=O)Nc1ccc(cc1)C1(c2ccc(cc2)NC(=O)c2ccc3c(c2)C(=O)N(C3=O)c2ccc(cc2)Oc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)*)c2ccccc2-c2c1cccc2,240.0
*C(=O)Nc1ccc(cc1)C1(c2ccc(cc2)NC(=O)c2ccc3c(c2)C(=O)N(C3=O)c2ccc(cc2)Oc2cccc(c2)Oc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)*)c2ccccc2-c2c1cccc2,278.0
*C(=O)Nc1ccc(cc1)C1(c2ccc(cc2)NC(=O)c2ccc3c(c2)C(=O)N(C3=O)c2ccc(cc2)Sc2ccc(cc2)Oc2ccc(cc2)Sc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)*)c2ccccc2-c2c1cccc2,264.0
*C(=O)Nc1ccc(cc1)C1(c2ccc(cc2)NC(=O)c2ccc3c(c2)C(=O)N(C3=O)c2cccc(c2)N2C(=O)c3c(C2=O)cc(cc3)*)c2ccccc2-c2c1cccc2,209.0
*C(=O)Nc1ccc(cc1)Cc1ccc(cc1)N1C(=O)CC(C1=O)N1C(=O)c2c(C1=O)cc(cc2)*,123.0
*C(=O)Nc1ccc(cc1)Cc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*,279.5
*C(=O)Nc1ccc(cc1)Cc1ccc(cc1)NC(=O)c1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*,222.0
*C(=O)Nc1ccc(cc1)Cc1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1ccc(c(c1)N1C(=O)c2c(C1=O)cc(cc2)*)N=Nc1ccc(cc1)C,268.0
*C(=O)Nc1ccc(cc1)Cc1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*,270.0
*C(=O)Nc1ccc(cc1)Cc1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)Oc1ccc2c(c1)cc(cc2)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*,273.0
*C(=O)Nc1ccc(cc1)Cc1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)S(=O)(=O)c1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*,324.0
*C(=O)Nc1ccc(cc1)Cc1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)c1sc(c(c1c1ccccc1)c1ccccc1)c1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*,253.0
*C(=O)Nc1ccc(cc1)Cc1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1cccc(c1)P(=O)(c1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)*)c1ccccc1,233.0
*C(=O)Nc1ccc(cc1)N1C(=O)CC(C1=O)N1C(=O)c2c(C1=O)cc(cc2)*,120.0
*C(=O)Nc1ccc(cc1)NC(=O)c1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*,297.5
*C(=O)Nc1ccc(cc1)NC(=O)c1ccc(cc1)NC(=O)c1ccc(cc1)c1nc2c([nH]1)ccc(c2)*,295.0
*C(=O)Nc1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1c(C)cc(c(c1C)N1C(=O)c2c(C1=O)cc(cc2)*)C,327.0
*C(=O)Nc1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1cc(cc(c1)N1C(=O)c2c(C1=O)cc(cc2)*)c1sc2c(n1)cccc2,356.0
*C(=O)Nc1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)Oc1cccc2c1cccc2N1C(=O)c2c(C1=O)cc(cc2)*,307.0
*C(=O)Nc1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)S(=O)(=O)c1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*,368.0
*C(=O)Nc1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)c1sc(c(c1c1ccccc1)c1ccccc1)c1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*,333.0
*C(=O)Nc1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)*,341.0
*C(=O)Nc1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1cccc(c1)P(=O)(c1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)*)c1ccccc1,204.0
*C(=O)Nc1ccc(cc1)NC(=O)c1ccc2c(c1)nc([nH]2)c1cc(cc(c1)c1[nH]c2c(n1)cc(cc2)*)N1C(=O)c2c(C1=O)cccc2,295.0
*C(=O)Nc1ccc(cc1)Oc1c(C)cc(cc1C)C(c1cc(C)c(c(c1)C)Oc1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)Oc1ccc(cc1)C1(CC2CC1C1C2CCC1)c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*)(C)C,276.0
*C(=O)Nc1ccc(cc1)Oc1cc(c(cc1C(C)(C)C)Oc1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)Oc1ccc(cc1)C1(CC2CC1C1C2CCC1)c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*)C(C)(C)C,290.0
*C(=O)Nc1ccc(cc1)Oc1ccc(c(c1)C(C)(C)C)Oc1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)Oc1ccc(cc1)C1(CC2CC1C1C2CCC1)c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*,275.0
*C(=O)Nc1ccc(cc1)Oc1ccc(c(c1)C)c1ccc(cc1C)Oc1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)Oc1ccc(cc1)C1(CC2CC1C1C2CCC1)c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*,265.0
*C(=O)Nc1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)Oc1ccc(cc1)NC(=O)c1ccc(nc1)*,170.0
*C(=O)Nc1ccc(cc1)Oc1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)Oc1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)Oc1ccc(cc1)C1(CC2CC1C1C2CCC1)c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*,254.0
*C(=O)Nc1ccc(cc1)Oc1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)Oc1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)Oc1ccc2c(c1)cc(cc2)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*,250.0
*C(=O)Nc1ccc(cc1)Oc1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)Oc1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)Oc1cccc2c1cccc2Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*,231.0
*C(=O)Nc1ccc(cc1)Oc1ccc(cc1)C(c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*)(C)C,230.0
*C(=O)Nc1ccc(cc1)Oc1ccc(cc1)C(c1ccc(cc1)Oc1ccc(cc1)NC(=O)c1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*)(C)C,216.0
*C(=O)Nc1ccc(cc1)Oc1ccc(cc1)C(c1ccc(cc1)Oc1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)Oc1ccc2c(c1)cc(cc2)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*)(C)C,250.0
*C(=O)Nc1ccc(cc1)Oc1ccc(cc1)C(c1ccc(cc1)Oc1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)Oc1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)*)(C)C,207.0
*C(=O)Nc1ccc(cc1)Oc1ccc(cc1)C(c1ccc(cc1)Oc1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)Oc1cccc2c1cccc2Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*)(C)C,235.0
*C(=O)Nc1ccc(cc1)Oc1ccc(cc1)C(c1ccc(cc1)Oc1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)c1sc(c(c1c1ccccc1)c1ccccc1)c1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*)(C)C,287.0
*C(=O)Nc1ccc(cc1)Oc1ccc(cc1)C(c1cccc(c1)C(c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*)(C)C)(C)C,177.0
*C(=O)Nc1ccc(cc1)Oc1ccc(cc1)C1(NC(=O)c2c1cccc2)c1ccc(cc1)Oc1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1ccc(c(c1)N1C(=O)c2c(C1=O)cc(cc2)*)C,315.0
*C(=O)Nc1ccc(cc1)Oc1ccc(cc1)C1(NC(=O)c2c1cccc2)c1ccc(cc1)Oc1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*,322.0
*C(=O)Nc1ccc(cc1)Oc1ccc(cc1)C1(NC(=O)c2c1cccc2)c1ccc(cc1)Oc1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)Oc1ccc(c(c1)C)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*,293.0
